province,year,births,COD_PROV,DEN_PROV,source,validated
Forlì,1868,8207,40,Forlì,TAVOLA_VI_1881,OK
Genova,1868,25112,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1868,4008,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1868,3857,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1868,11012,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1868,17332,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1868,3935,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1868,9757,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1868,7843,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1868,6279,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1868,6237,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1868,12085,83,Messina,TAVOLA_VI_1881,OK
Milano,1868,38045,15,Milano,TAVOLA_VI_1881,OK
Modena,1868,9791,36,Modena,TAVOLA_VI_1881,OK
Napoli,1868,30767,63,Napoli,TAVOLA_VI_1881,OK
Novara,1868,22432,3,Novara,TAVOLA_VI_1881,OK
Padova,1868,13954,28,Padova,TAVOLA_VI_1881,OK
Palermo,1868,20418,82,Palermo,TAVOLA_VI_1881,OK
Parma,1868,9166,34,Parma,TAVOLA_VI_1881,OK
Pavia,1868,16886,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1868,17418,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1868,7211,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1868,7627,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1868,8832,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1868,20483,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1868,7186,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1868,11565,80,Reggio di Calabria,TAVOLA_VI_1881,OK
