COD_PROV,DEN_PROV,year,births,cbr
23,Verona,1874,11429,30.45
24,Vicenza,1874,13472,36.13
25,Belluno,1874,6860,39.22
26,Treviso,1874,12809,35.66
27,Venezia,1874,10923,31.83
28,Padova,1874,12729,34.0
29,Rovigo,1874,7631,37.09
30,Udine,1874,15936,32.7
33,Piacenza,1874,7240,32.03
34,Parma,1874,8361,31.52
35,Reggio nell'Emilia,1874,7967,32.94
36,Modena,1874,9071,32.95
37,Bologna,1874,13878,31.21
38,Ferrara,1874,8138,36.99
39,Ravenna,1874,6507,29.25
40,Forlì,1874,7971,33.23
41,Pesaro e Urbino,1874,7184,33.25
42,Ancona,1874,8654,32.79
