DATAFLOW,FREQ,REF_AREA,DATA_TYPE,AGE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_AGE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y58,2,1971,333692,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y58,9,1971,639363,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y59,1,1971,294013,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y59,2,1971,321515,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y59,9,1971,615528,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y6,1,1971,494676,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y6,2,1971,469076,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y6,9,1971,963752,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y60,1,1971,298088,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y60,2,1971,327653,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y60,9,1971,625741,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y61,1,1971,281145,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y61,2,1971,312004,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y61,9,1971,593149,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y62,1,1971,276735,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y62,2,1971,312220,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y62,9,1971,588955,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y63,1,1971,249332,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y63,2,1971,284243,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y63,9,1971,533575,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y64,1,1971,241801,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y64,2,1971,279432,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y64,9,1971,521233,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y65,1,1971,229141,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y65,2,1971,268176,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y65,9,1971,497317,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y66,1,1971,217336,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y66,2,1971,260484,,,,,,,,,
