compartimento,year,births,deaths_u5,u5mr,source
UMBRIA,1916,18004,4474,248.5,Raftakis manual
VENETO,1916,103370,30515,295.2,Raftakis manual
ABRUZZI E MOLISE,1917,29406,9213,313.3,Raftakis manual
BASILICATA,1917,10814,5113,472.81,Raftakis manual
CALABRIE,1917,35716,8997,251.9,Raftakis manual
CAMPANIA,1917,81994,23567,287.42,Raftakis manual
EMILIA,1917,53703,14815,275.87,Raftakis manual
LAZIO,1917,28501,7340,257.53,Raftakis manual
LIGURIA,1917,20657,4505,218.09,Raftakis manual
LOMBARDIA,1917,85099,28082,329.99,Raftakis manual
MARCHE,1917,21616,5963,275.86,Raftakis manual
PIEMONTE,1917,43710,9889,226.24,Raftakis manual
PUGLIE,1917,58564,26094,445.56,Raftakis manual
SARDEGNA,1917,22209,7801,351.25,Raftakis manual
SICILIA,1917,83335,28935,347.21,Raftakis manual
TOSCANA,1917,42529,10787,253.64,Raftakis manual
UMBRIA,1917,14022,3708,264.44,Raftakis manual
VENETO,1917,59332,17097,288.16,Raftakis manual
ABRUZZI E MOLISE,1919,34273,7405,216.06,Raftakis manual
BASILICATA,1919,11780,3822,324.45,Raftakis manual
CALABRIE,1919,37839,8910,235.47,Raftakis manual
CAMPANIA,1919,82383,23151,281.02,Raftakis manual
EMILIA,1919,63102,11960,189.53,Raftakis manual
LAZIO,1919,30092,5683,188.85,Raftakis manual
LIGURIA,1919,19619,3879,197.72,Raftakis manual
LOMBARDIA,1919,94792,20305,214.21,Raftakis manual
MARCHE,1919,26068,5526,211.98,Raftakis manual
PIEMONTE,1919,45049,8145,180.8,Raftakis manual
PUGLIE,1919,60527,23302,384.99,Raftakis manual
SARDEGNA,1919,23622,3951,167.26,Raftakis manual
SICILIA,1919,84626,21963,259.53,Raftakis manual
TOSCANA,1919,52086,8457,162.37,Raftakis manual
UMBRIA,1919,17101,3341,195.37,Raftakis manual
VENETO,1919,87661,19563,223.17,Raftakis manual
ABRUZZI E MOLISE,1920,52948,10262,193.81,Raftakis manual
BASILICATA,1920,18613,3897,209.37,Raftakis manual
CALABRIE,1920,57439,26489,461.17,Raftakis manual
CAMPANIA,1920,119297,25174,211.02,Raftakis manual
EMILIA,1920,93172,15429,165.6,Raftakis manual
LAZIO,1920,48313,7575,156.79,Raftakis manual
LIGURIA,1920,28206,4378,155.22,Raftakis manual
LOMBARDIA,1920,140699,27404,194.77,Raftakis manual
MARCHE,1920,39641,6922,174.62,Raftakis manual
PIEMONTE,1920,69089,9905,143.37,Raftakis manual
PUGLIE,1920,92005,22296,242.33,Raftakis manual
SARDEGNA,1920,28879,6270,217.11,Raftakis manual
SICILIA,1920,122291,32367,264.67,Raftakis manual
TOSCANA,1920,81411,11230,137.94,Raftakis manual
UMBRIA,1920,24887,4323,173.71,Raftakis manual
VENETO,1920,141151,23303,165.09,Raftakis manual
ABRUZZI E MOLISE,1921,50615,10446,206.38,Raftakis manual
BASILICATA,1921,17750,4619,260.23,Raftakis manual
CALABRIE,1921,54785,11472,209.4,Raftakis manual
CAMPANIA,1921,120747,23110,191.39,Raftakis manual
EMILIA,1921,90428,15520,171.63,Raftakis manual
LAZIO,1921,45068,8134,180.48,Raftakis manual
LIGURIA,1921,27916,3865,138.45,Raftakis manual
LOMBARDIA,1921,143696,30078,209.32,Raftakis manual
