COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
51,Arezzo,F,10_14,10,2.5,0.005977,0.029444,56656.5,1668.2,279112.2,2728401.4,48.16
51,Arezzo,F,15_19,15,2.5,0.006719,0.03304,54988.3,1816.8,270399.7,2449289.2,44.54
51,Arezzo,F,20_24,20,2.5,0.00828,0.040559,53171.5,2156.6,260466.2,2178889.5,40.98
51,Arezzo,F,25_29,25,2.5,0.008765,0.042885,51014.9,2187.8,249605.3,1918423.4,37.61
51,Arezzo,F,30_34,30,2.5,0.011839,0.057491,48827.2,2807.1,237118.1,1668818.1,34.18
51,Arezzo,F,35_39,35,2.5,0.011752,0.057083,46020.0,2627.0,223532.8,1431700.0,31.11
51,Arezzo,F,40_44,40,2.5,0.010188,0.049673,43393.1,2155.4,211576.8,1208167.2,27.84
51,Arezzo,F,45_49,45,2.5,0.01184,0.057499,41237.6,2371.1,200260.4,996590.4,24.17
51,Arezzo,F,50_54,50,2.5,0.012966,0.062794,38866.5,2440.6,188231.1,796330.0,20.49
51,Arezzo,F,55_59,55,2.5,0.026354,0.123623,36425.9,4503.1,170872.0,608098.8,16.69
51,Arezzo,F,60_64,60,2.5,0.026355,0.123631,31922.9,3946.7,149747.6,437226.8,13.7
51,Arezzo,F,65_69,65,2.5,0.06,0.26087,27976.2,7298.1,121635.6,287479.2,10.28
51,Arezzo,F,70_74,70,2.5,0.092406,0.375324,20678.1,7761.0,83987.9,165843.6,8.02
51,Arezzo,F,75_79,75,2.5,0.145688,0.533962,12917.1,6897.2,47342.4,81855.7,6.34
51,Arezzo,F,80_84,80,2.5,0.139334,0.51669,6019.9,3110.4,22323.3,34513.3,5.73
51,Arezzo,F,85plus,85,4.1898,0.238675,1.0,2909.5,2909.5,12190.0,12190.0,4.19
44,Ascoli Piceno,T,0,0,0.3061,0.221218,0.191779,100000.0,19177.9,86692.0,3812494.6,38.12
44,Ascoli Piceno,T,1_4,1,1.5,0.05817,0.203137,80822.1,16418.0,282243.6,3725802.6,46.1
44,Ascoli Piceno,T,5_9,5,2.5,0.009025,0.04413,64404.1,2842.2,314915.3,3443559.1,53.47
44,Ascoli Piceno,T,10_14,10,2.5,0.005317,0.026236,61562.0,1615.2,303772.0,3128643.8,50.82
44,Ascoli Piceno,T,15_19,15,2.5,0.006069,0.029891,59946.8,1791.9,295254.4,2824871.8,47.12
44,Ascoli Piceno,T,20_24,20,2.5,0.007743,0.037979,58154.9,2208.7,285253.0,2529617.4,43.5
44,Ascoli Piceno,T,25_29,25,2.5,0.00743,0.036471,55946.3,2040.4,274630.3,2244364.4,40.12
44,Ascoli Piceno,T,30_34,30,2.5,0.007757,0.038049,53905.8,2051.1,264401.5,1969734.2,36.54
44,Ascoli Piceno,T,35_39,35,2.5,0.009431,0.046067,51854.8,2388.8,253301.9,1705332.6,32.89
44,Ascoli Piceno,T,40_44,40,2.5,0.008974,0.043883,49466.0,2170.7,241903.1,1452030.7,29.35
44,Ascoli Piceno,T,45_49,45,2.5,0.009453,0.046175,47295.3,2183.8,231016.7,1210127.6,25.59
44,Ascoli Piceno,T,50_54,50,2.5,0.012494,0.06058,45111.4,2732.8,218725.0,979110.9,21.7
44,Ascoli Piceno,T,55_59,55,2.5,0.018571,0.088734,42378.6,3760.4,202491.8,760385.9,17.94
44,Ascoli Piceno,T,60_64,60,2.5,0.024383,0.11491,38618.1,4437.6,181996.7,557894.2,14.45
44,Ascoli Piceno,T,65_69,65,2.5,0.046566,0.208552,34180.5,7128.4,153081.6,375897.5,11.0
