"code","province","age_class","male","female","total"
"037","Bologna","1-4",27418,26768,54186
"037","Bologna","5-9",30566,29874,60440
"037","Bologna","10-14",28382,28044,56426
"037","Bologna","15-19",26567,26860,53427
"037","Bologna","20-24",25768,25289,51057
"037","Bologna","25-29",20627,21598,42225
"037","Bologna","30-34",17562,18732,36294
"037","Bologna","35-39",16392,16640,33032
"037","Bologna","40-44",15882,15968,31850
"037","Bologna","45-49",16300,15862,32162
"037","Bologna","50-54",14437,13948,28385
"037","Bologna","55-59",11628,11460,23088
"037","Bologna","60-64",10809,10759,21568
"037","Bologna","65-69",8612,8523,17135
"037","Bologna","70-74",5500,5535,11035
"037","Bologna","75-79",2947,3081,6028
"037","Bologna","80-84",1136,1324,2460
"037","Bologna","85+",476,639,1115
"038","Ferrara","0",5405,5057,10462
"038","Ferrara","1-4",17336,16733,34069
"038","Ferrara","5-9",18690,18159,36849
"038","Ferrara","10-14",16858,16233,33091
"038","Ferrara","15-19",14193,13970,28163
"038","Ferrara","20-24",11770,12366,24136
"038","Ferrara","25-29",11043,10935,21978
"038","Ferrara","30-34",8803,8729,17532
"038","Ferrara","35-39",8926,8538,17464
"038","Ferrara","40-44",7823,7472,15295
"038","Ferrara","45-49",7952,7522,15474
"038","Ferrara","50-54",7042,6627,13669
"038","Ferrara","55-59",5451,5390,10841
"038","Ferrara","60-64",5028,5014,10042
"038","Ferrara","65-69",4293,4304,8597
"038","Ferrara","70-74",2725,2763,5488
"038","Ferrara","75-79",1366,1692,3058
"038","Ferrara","80-84",490,621,1111
"038","Ferrara","85+",171,258,429
"039","Ravenna","0",3186,3029,6215
"039","Ravenna","1-4",10042,9924,19966
"039","Ravenna","5-9",11687,11177,22864
"039","Ravenna","10-14",11386,10924,22310
"039","Ravenna","15-19",11140,11003,22143
"039","Ravenna","20-24",12183,10216,22399
"039","Ravenna","25-29",9465,9003,18468
"039","Ravenna","30-34",8265,7865,16130
"039","Ravenna","35-39",7566,7283,14849
"039","Ravenna","40-44",7315,6881,14196
"039","Ravenna","45-49",7525,7020,14545
"039","Ravenna","50-54",6927,6456,13383
"039","Ravenna","55-59",5745,5410,11155
"039","Ravenna","60-64",5433,5101,10534
"039","Ravenna","65-69",4458,4054,8512
"039","Ravenna","70-74",2616,2746,5362
"039","Ravenna","75-79",1678,1622,3300
"039","Ravenna","80-84",669,706,1375
"039","Ravenna","85+",241,300,541
"040","Forlì","0",4837,4711,9548
"040","Forlì","1-4",15061,14570,29631
"040","Forlì","5-9",16354,15910,32264
"040","Forlì","10-14",15434,15049,30483
"040","Forlì","15-19",13189,14750,27939
"040","Forlì","20-24",12042,12990,25032
"040","Forlì","25-29",10551,11250,21801
"040","Forlì","30-34",9245,9609,18854
"040","Forlì","35-39",7948,8179,16127
"040","Forlì","40-44",7785,7733,15518
"040","Forlì","45-49",7900,7660,15560
"040","Forlì","50-54",7227,7171,14398
"040","Forlì","55-59",6078,5738,11816
"040","Forlì","60-64",6021,5589,11610
"040","Forlì","65-69",4438,4155,8593
"040","Forlì","70-74",3082,2687,5769
"040","Forlì","75-79",1723,1492,3215
"040","Forlì","80-84",740,627,1367
"040","Forlì","85+",845,1038,1883
"041","Pesarourbino","0",3993,3790,7783
"041","Pesarourbino","1-4",13000,12273,25273
"041","Pesarourbino","5-9",14682,14201,28883
"041","Pesarourbino","10-14",14556,13844,28400
"041","Pesarourbino","15-19",11048,12439,23487
"041","Pesarourbino","20-24",9353,10836,20189
"041","Pesarourbino","25-29",8140,9707,17847
"041","Pesarourbino","30-34",7162,8279,15441
"041","Pesarourbino","35-39",6577,7295,13872
"041","Pesarourbino","40-44",6599,6955,13554
"041","Pesarourbino","45-49",6627,7100,13727
"041","Pesarourbino","50-54",6560,6604,13164
"041","Pesarourbino","55-59",5403,5311,10714
"041","Pesarourbino","60-64",5229,5134,10363
"041","Pesarourbino","65-69",4092,3994,8086
"041","Pesarourbino","70-74",2858,2669,5527
"041","Pesarourbino","75-79",1686,1516,3202
"041","Pesarourbino","80-84",658,570,1228
"041","Pesarourbino","85+",232,199,431
"042","Ancona","0",4875,4673,9548
"042","Ancona","1-4",16014,15376,31390
"042","Ancona","5-9",17688,17085,34773
"042","Ancona","10-14",17106,16813,33919
"042","Ancona","15-19",14146,15872,30018
"042","Ancona","20-24",12662,14364,27026
"042","Ancona","25-29",10331,12224,22555
"042","Ancona","30-34",8803,10079,18882
"042","Ancona","35-39",7957,8720,16677
"042","Ancona","40-44",7973,8774,16747
"042","Ancona","45-49",7639,8327,15966
"042","Ancona","50-54",7067,7950,15017
"042","Ancona","55-59",6225,6526,12751
"042","Ancona","60-64",5783,6307,12090
"042","Ancona","65-69",4545,5033,9578
"042","Ancona","70-74",3129,3442,6571
"042","Ancona","75-79",1987,2071,4058
"042","Ancona","80-84",695,760,1455
"042","Ancona","85+",307,381,688
"043","Macerata","0",3914,3554,7468
"043","Macerata","1-4",13033,12423,25456
"043","Macerata","5-9",14619,13780,28399
"043","Macerata","10-14",13720,13418,27138
"043","Macerata","15-19",10503,12907,23410
"043","Macerata","20-24",7416,11198,18614
"043","Macerata","25-29",7187,9444,16631
"043","Macerata","30-34",6335,7762,14097
"043","Macerata","35-39",5670,6853,12523
"043","Macerata","40-44",5950,7211,13161
"043","Macerata","45-49",6228,7192,13420
"043","Macerata","50-54",6125,7083,13208
"043","Macerata","55-59",5573,5979,11552
"043","Macerata","60-64",5404,5816,11220
"043","Macerata","65-69",4350,4771,9121
"043","Macerata","70-74",2895,3201,6096
"043","Macerata","75-79",1970,2035,4005
"043","Macerata","80-84",834,795,1629
"043","Macerata","85+",315,333,648
"044","Ascolipiceno","0",3823,3762,7585
"044","Ascolipiceno","1-4",13086,12456,25542
"044","Ascolipiceno","5-9",14186,13260,27446
"044","Ascolipiceno","10-14",13520,13346,26866
"044","Ascolipiceno","15-19",10949,12712,23661
"044","Ascolipiceno","20-24",7960,11224,19184
"044","Ascolipiceno","25-29",6932,9926,16858
"044","Ascolipiceno","30-34",6434,8175,14609
"044","Ascolipiceno","35-39",5532,6749,12281
"044","Ascolipiceno","40-44",5693,6857,12550
"044","Ascolipiceno","45-49",6080,7034,13114
"044","Ascolipiceno","50-54",5935,6382,12317
"044","Ascolipiceno","55-59",5116,5492,10608
"044","Ascolipiceno","60-64",4968,5365,10333
"044","Ascolipiceno","65-69",3994,4374,8368
"044","Ascolipiceno","70-74",2868,3140,6008
"044","Ascolipiceno","75-79",2028,1899,3927
"044","Ascolipiceno","80-84",885,778,1663
"044","Ascolipiceno","85+",305,304,609
"045","Massacarrara","0",3220,3160,6380
"045","Massacarrara","1-4",12106,11560,23666
"045","Massacarrara","5-9",13364,13059,26423
"045","Massacarrara","10-14",12520,12586,25106
"045","Massacarrara","15-19",9672,10970,20642
"045","Massacarrara","20-24",6551,9302,15853
"045","Massacarrara","25-29",5989,7465,13454
"045","Massacarrara","30-34",5382,6281,11663
"045","Massacarrara","35-39",5138,5878,11016
"045","Massacarrara","40-44",5041,5595,10636
"045","Massacarrara","45-49",4957,5283,10240
"045","Massacarrara","50-54",4259,4410,8669
"045","Massacarrara","55-59",3707,3688,7395
"045","Massacarrara","60-64",3692,3607,7299
"045","Massacarrara","65-69",2864,2749,5613
"045","Massacarrara","70-74",2027,1923,3950
