COD_PROV,DEN_PROV,year,marriages,nuptiality
65,Salerno,1873,4903,9.03
66,Aquila degli Abruzzi,1873,3047,9.03
67,Teramo,1873,1886,7.62
69,Chieti,1873,3183,9.34
70,Campobasso,1873,3691,10.32
71,Foggia,1873,3385,10.28
72,Bari delle Puglie,1873,5075,8.16
75,Lecce,1873,4233,8.41
76,Potenza,1873,5177,10.08
78,Cosenza,1873,3720,8.35
79,Catanzaro,1873,3858,9.26
80,Reggio di Calabria,1873,3456,9.67
81,Trapani,1873,2418,9.83
82,Palermo,1873,5723,9.03
83,Messina,1873,3407,8.16
84,Girgenti,1873,2659,9.08
85,Caltanissetta,1873,2269,9.56
87,Catania,1873,4438,8.72
89,Siracusa,1873,2395,7.89
90,Sassari,1873,1631,6.6
92,Cagliari,1873,3176,7.97
1,Torino,1874,7531,7.61
3,Novara,1874,5333,8.33
4,Cuneo,1874,4952,7.95
6,Alessandria,1874,6019,8.63
8,Porto Maurizio,1874,899,6.99
10,Genova,1874,5574,7.65
13,Como,1874,4308,8.81
14,Sondrio,1874,809,7.1
15,Milano,1874,8636,8.3
16,Bergamo,1874,2903,7.75
17,Brescia,1874,3587,7.79
18,Pavia,1874,3815,8.39
19,Cremona,1874,2335,7.76
20,Mantova,1874,2359,8.13
23,Verona,1874,2819,7.51
24,Vicenza,1874,2843,7.63
25,Belluno,1874,1442,8.24
26,Treviso,1874,2688,7.48
27,Venezia,1874,2372,6.91
28,Padova,1874,2775,7.41
29,Rovigo,1874,1548,7.52
30,Udine,1874,3789,7.77
33,Piacenza,1874,1758,7.78
34,Parma,1874,2187,8.25
35,Reggio nell'Emilia,1874,1684,6.96
36,Modena,1874,2218,8.06
37,Bologna,1874,2865,6.44
38,Ferrara,1874,1590,7.23
39,Ravenna,1874,1342,6.03
40,Forlì,1874,1455,6.07
41,Pesaro e Urbino,1874,1541,7.13
42,Ancona,1874,1732,6.56
43,Macerata,1874,1437,6.04
44,Ascoli Piceno,1874,1058,5.16
45,Massa e Carrara,1874,1050,6.4
