province,year,marriages,COD_PROV,DEN_PROV,source,validated
Aquila degli Abruzzi,1868,2036,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1868,1142,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1868,758,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1868,2814,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1868,5803,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1868,1398,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1868,1699,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1868,3127,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1868,2547,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1868,4165,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1868,1926,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1868,1765,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1868,3148,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1868,4717,61,Caserta,TAVOLA_VI_1881,OK
Catania,1868,2811,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1868,2184,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1868,2840,69,Chieti,TAVOLA_VI_1881,OK
Como,1868,3767,13,Como,TAVOLA_VI_1881,OK
Cosenza,1868,2901,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1868,3459,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1868,4658,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1868,1217,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1868,4906,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1868,2776,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1868,1010,40,Forlì,TAVOLA_VI_1881,OK
Genova,1868,5013,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1868,2121,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1868,557,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1868,4193,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1868,840,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1868,1446,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1868,1068,43,Macerata,TAVOLA_VI_1881,OK
