COD_PROV,DEN_PROV,year,emigrants,emig_rate
33,Piacenza,1921,958,3.42
34,Parma,1921,1569,4.57
35,Reggio nell'Emilia,1921,403,1.17
36,Modena,1921,1289,3.27
37,Bologna,1921,581,0.91
38,Ferrara,1921,315,0.91
39,Ravenna,1921,80,0.31
40,Forlì,1921,397,1.21
41,Pesaro e Urbino,1921,953,3.41
42,Ancona,1921,1528,4.58
43,Macerata,1921,2961,11.13
44,Ascoli Piceno,1921,1259,4.77
45,Massa e Carrara,1921,1433,6.42
46,Lucca,1921,3754,10.89
48,Firenze,1921,3381,3.26
49,Livorno,1921,304,2.12
50,Pisa,1921,742,2.07
51,Arezzo,1921,377,1.27
52,Siena,1921,112,0.45
53,Grosseto,1921,54,0.33
54,Umbria,1921,1448,1.97
58,Roma,1921,2124,1.42
61,Caserta,1921,5176,6.34
62,Benevento,1921,1698,6.39
63,Napoli,1921,2874,1.97
64,Avellino,1921,2939,7.33
65,Salerno,1921,4534,7.85
66,Aquila degli Abruzzi,1921,1825,4.65
67,Teramo,1921,1904,5.95
69,Chieti,1921,3926,10.49
70,Campobasso,1921,2844,8.39
71,Foggia,1921,1087,2.39
72,Bari delle Puglie,1921,4502,4.76
75,Lecce,1921,564,0.64
76,Potenza,1921,5594,11.98
78,Cosenza,1921,8147,16.57
79,Catanzaro,1921,5695,11.21
80,Reggio di Calabria,1921,3195,6.66
81,Trapani,1921,2991,7.37
82,Palermo,1921,5143,6.03
83,Messina,1921,4086,7.09
84,Girgenti,1921,3148,7.69
85,Caltanissetta,1921,1177,3.08
87,Catania,1921,4161,4.78
89,Siracusa,1921,2376,4.51
90,Sassari,1921,430,1.3
92,Cagliari,1921,672,1.28
