year,severity,flag,unit,age,sex,value,detail
1861,WARN,AGE_PROFILE,053 Grosseto,70-74,F,238.0,"ratio to neighbour avg = 0.53 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,061 TerradelLavoro,70-74,MF,3.537,"M/F outside (0.4, 1.7) (M=2819, F=797)"
1861,WARN,SEX_RATIO,061 TerradelLavoro,75-79,MF,2.72,"M/F outside (0.4, 1.7) (M=2241, F=824)"
1861,WARN,SEX_RATIO,061 TerradelLavoro,80-84,MF,2.497,"M/F outside (0.4, 1.7) (M=889, F=356)"
1861,WARN,AGE_PROFILE,061 TerradelLavoro,70-74,T,3616.0,"ratio to neighbour avg = 0.44 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,061 TerradelLavoro,65-69,F,7229.0,"ratio to neighbour avg = 1.68 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,061 TerradelLavoro,70-74,F,797.0,"ratio to neighbour avg = 0.20 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,063 Napoli,55-59,F,19380.0,"ratio to neighbour avg = 1.66 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,064 PrincipatoUlteriore,70-74,MF,3.929,"M/F outside (0.4, 1.7) (M=1823, F=464)"
1861,WARN,SEX_RATIO,064 PrincipatoUlteriore,75-79,MF,2.666,"M/F outside (0.4, 1.7) (M=1213, F=455)"
1861,WARN,SEX_RATIO,064 PrincipatoUlteriore,80-84,MF,2.362,"M/F outside (0.4, 1.7) (M=418, F=177)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,30-34,T,10053.0,"ratio to neighbour avg = 0.49 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,35-39,T,30065.0,"ratio to neighbour avg = 2.03 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,70-74,T,2287.0,"ratio to neighbour avg = 0.46 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,30-34,M,5027.0,"ratio to neighbour avg = 0.49 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,35-39,M,14390.0,"ratio to neighbour avg = 1.98 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,30-34,F,5026.0,"ratio to neighbour avg = 0.50 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,35-39,F,15675.0,"ratio to neighbour avg = 2.07 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,65-69,F,4422.0,"ratio to neighbour avg = 1.76 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,064 PrincipatoUlteriore,70-74,F,464.0,"ratio to neighbour avg = 0.19 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,35-39,T,36140.0,"ratio to neighbour avg = 1.84 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,45-49,T,24419.0,"ratio to neighbour avg = 1.74 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,50-54,T,11236.0,"ratio to neighbour avg = 0.55 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,55-59,T,16541.0,"ratio to neighbour avg = 1.75 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,70-74,T,2510.0,"ratio to neighbour avg = 0.54 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,35-39,M,17842.0,"ratio to neighbour avg = 1.81 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,45-49,M,11790.0,"ratio to neighbour avg = 1.71 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,55-59,M,7514.0,"ratio to neighbour avg = 1.66 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,35-39,F,18298.0,"ratio to neighbour avg = 1.87 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,40-44,F,8427.0,"ratio to neighbour avg = 0.54 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,45-49,F,12629.0,"ratio to neighbour avg = 1.77 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,50-54,F,5851.0,"ratio to neighbour avg = 0.54 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,55-59,F,9027.0,"ratio to neighbour avg = 1.83 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,079 Calabria Ulteriore II,70-74,F,1266.0,"ratio to neighbour avg = 0.50 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,080 Calabria Ulteriore I,30-34,MF,1.76,"M/F outside (0.7, 1.4) (M=16014, F=9099)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,45-49,T,19798.0,"ratio to neighbour avg = 1.67 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,55-59,T,14096.0,"ratio to neighbour avg = 1.81 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,55-59,M,6513.0,"ratio to neighbour avg = 1.71 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,35-39,F,14911.0,"ratio to neighbour avg = 1.87 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,40-44,F,6889.0,"ratio to neighbour avg = 0.55 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,45-49,F,10197.0,"ratio to neighbour avg = 1.72 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,080 Calabria Ulteriore I,55-59,F,7583.0,"ratio to neighbour avg = 1.90 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,70-74,T,1619.0,"ratio to neighbour avg = 0.51 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,75-79,T,2048.0,"ratio to neighbour avg = 1.99 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,70-74,M,742.0,"ratio to neighbour avg = 0.54 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,75-79,M,870.0,"ratio to neighbour avg = 1.83 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,45-49,F,6830.0,"ratio to neighbour avg = 1.66 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,50-54,F,3092.0,"ratio to neighbour avg = 0.54 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,55-59,F,4581.0,"ratio to neighbour avg = 1.77 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,65-69,F,2440.0,"ratio to neighbour avg = 1.65 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,70-74,F,877.0,"ratio to neighbour avg = 0.48 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,AGE_PROFILE,081 Trapani,75-79,F,1178.0,"ratio to neighbour avg = 2.12 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,082 Palermo,15-19,MF,3599.714,"M/F outside (0.7, 1.4) (M=25198, F=7)"
1861,WARN,SEX_RATIO,082 Palermo,20-24,MF,399.309,"M/F outside (0.7, 1.4) (M=27153, F=68)"
1861,WARN,SEX_RATIO,082 Palermo,25-29,MF,100.979,"M/F outside (0.7, 1.4) (M=23831, F=236)"
1861,WARN,SEX_RATIO,082 Palermo,30-34,MF,4.02,"M/F outside (0.7, 1.4) (M=17340, F=4313)"
